user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,churn_proba
기마흥,2022-12-12,2022-11-17,26,4,25,6.25,1,587.0,23.48,1,2022-11-16,churn_customer,2022-10-30,2022-10-30,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9882438872894744
기염둥이,2022-11-08,2022-10-06,34,5,83,16.6,26,787.0,9.481927710843374,1,2022-10-06,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949719906275226
김가루,2022-09-17,2022-09-17,1,1,1,1.0,1,25.0,25.0,1,before 2022-09-04,churn_customer,2022-09-18,2022-09-18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9745286224095441
김네로,2023-01-20,2022-11-15,67,10,498,49.8,21,9353.0,18.781124497991968,0,2022-11-15,mid_term,2023-01-20,2022-11-15,67.0,10.0,891.0,89.1,31.0,0.0,0.0,0.0,0.012833960256718843
김뉴늉,2022-11-08,2022-09-15,55,8,106,13.25,18,3147.0,29.68867924528302,1,before 2022-09-04,churn_customer,,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,0.8748808047992798
김몽대,2023-01-19,2022-10-16,96,14,1340,95.71,157,24455.0,18.25,0,2022-10-04,mid_term,2023-01-19,2022-10-16,96.0,14.0,2943.0,210.21,319.0,0.0,0.0,0.0,0.005535929723059966
김몽하,2022-11-30,2022-11-22,9,2,62,31.0,16,455.0,7.338709677419355,1,2022-11-22,churn_customer,2022-12-26,2022-11-22,35.0,5.0,145.0,29.0,1.0,0.0,0.0,0.0,0.9821109528899844
김봄이,2023-01-19,2022-09-04,138,20,290,14.5,66,4594.0,15.841379310344829,0,before 2022-09-04,long_term,2023-01-19,2022-09-04,138.0,20.0,317.0,15.85,57.0,0.0,0.0,0.0,0.07156180840128697
김설하,2023-01-18,2022-09-04,137,20,1145,57.25,6,14943.0,13.05065502183406,0,before 2022-09-04,long_term,2023-01-18,2022-09-04,137.0,20.0,778.0,38.9,2.0,4.0,230.0,57.5,0.24593921254858722
김세피,2023-01-06,2022-09-04,125,18,119,6.61,15,1845.0,15.504201680672267,1,before 2022-09-04,churn_customer,2022-11-28,2022-09-21,69.0,10.0,16.0,1.6,3.0,0.0,0.0,0.0,0.8331722136778061
김슈룹,2023-01-18,2022-09-04,137,20,501,25.05,13,8420.0,16.806387225548903,0,before 2022-09-04,long_term,2023-01-09,2022-09-04,128.0,19.0,601.0,31.63,11.0,0.0,0.0,0.0,0.10553129312720774
김씨할매,2022-09-08,2022-09-08,1,1,9,9.0,9,234.0,26.0,1,before 2022-09-04,churn_customer,2023-01-16,2022-09-06,133.0,19.0,25.0,1.32,2.0,0.0,0.0,0.0,0.9952661579307953
김얼렁,2022-10-16,2022-10-16,1,1,2,2.0,2,32.0,16.0,1,2022-10-10,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7892568593570671
김쨰,2023-01-20,2022-09-04,139,20,1934,96.7,32,27463.0,14.20010341261634,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,2609.0,130.45,46.0,1.0,50.0,50.0,0.010506065470075177
김초월,2023-01-13,2022-09-06,130,19,296,15.58,29,4403.0,14.875,0,before 2022-09-04,long_term,2023-01-13,2022-09-04,132.0,19.0,795.0,41.84,52.0,13.0,2440.0,187.7,0.06197328504700969
김토땅,2023-01-19,2023-01-19,1,1,4,4.0,4,71.0,17.75,0,2023-01-19,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43862407260375447
김팬시,2022-11-28,2022-09-04,86,13,154,11.85,1,1288.0,8.363636363636363,1,before 2022-09-04,churn_customer,2022-12-19,2022-09-04,107.0,16.0,157.0,9.81,1.0,0.0,0.0,0.0,0.9649728576688277
김하노_,2022-10-08,2022-09-04,35,5,11,2.2,4,130.0,11.818181818181818,1,before 2022-09-04,churn_customer,2022-11-12,2022-09-04,70.0,10.0,17.0,1.7,1.0,0.0,0.0,0.0,0.9488847709841371
